date,GP_PO,sku,from_facility,to_facility,warehouse,quantity,received_quantity,Intransit_quantity,brand
2026-03-30,GP40194OPP_RSG_MH0019,BL-OVA277QC,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0019,BL-WCH013ZBWH,OPP_RSG_MH,ISK3,To Amazon FBA,-114,0.0,114.0,Belkin
2026-04-16,GPI/RSG-MH/2627/0009,GT205-BEIGE,OPP_RSG_MH,SBOB,To Amazon FBA,-8,7.0,1.0,GTPlayer
2026-04-16,GPI/RSG-MH/2627/0009,GT800A-RED,OPP_RSG_MH,SBOB,To Amazon FBA,-16,15.0,1.0,GTPlayer
2026-04-16,GPI/RSG-MH/2627/0009,GT800A-WHITE,OPP_RSG_MH,SBOB,To Amazon FBA,-63,62.0,1.0,GTPlayer
2026-04-16,GPI/RSG-MH/2627/0009,LR002-XIN,OPP_RSG_MH,SBOB,To Amazon FBA,-18,17.0,1.0,GTPlayer
2026-04-16,GPI/RSG-MH/2627/0010,BL-INC024FQBK,OPP_RSG_MH,DED3,To Amazon FBA,-18,0.0,18.0,Belkin
2026-04-21,GPI/RSG-MH/2627/0011,IN-GT800A-BLK-NMF,OPP_RSG_MH,SBOB,To Amazon FBA,-10,9.0,1.0,GTPlayer
2026-04-21,GPI/RSG-MH/2627/0011,LS-6689SN-BLACK-4D,OPP_RSG_MH,SBOB,To Amazon FBA,-7,6.0,1.0,Dowinx
2026-04-21,GPI/RSG-MH/2627/0011,N-M01059-6-78-60-ID,OPP_RSG_MH,SBOB,To Amazon FBA,-7,0.0,7.0,Novilla
2026-04-21,GPI/RSG-MH/2627/0011,N-M01059-6-78-72-ID,OPP_RSG_MH,SBOB,To Amazon FBA,-10,0.0,10.0,Novilla
2026-04-21,GPI/RSG-MH/2627/0011,N-M01059-8-78-72-ID,OPP_RSG_MH,SBOB,To Amazon FBA,-31,0.0,31.0,Novilla
2026-04-21,GPI/RSG-MH/2627/0011,N-M01060-6-78-72-ID,OPP_RSG_MH,SBOB,To Amazon FBA,-10,0.0,10.0,Novilla
2026-04-22,GPI/RSG-MH/2627/0012,GT829-GREEN,OPP_RSG_MH,SBOB,To Amazon FBA,-15,11.0,4.0,GTPlayer
2026-04-22,GPI/RSG-MH/2627/0012,LR002-LIGHTBLUE,OPP_RSG_MH,SBOB,To Amazon FBA,-19,18.0,1.0,GTPlayer
2026-04-23,GPI/RSG-MH/2627/0014,BL-CAB022FQ2MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-60,54.0,6.0,Belkin
2026-04-23,GPI/RSG-MH/2627/0014,BL-CAB023FQ2MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-156,161.0,5.0,Belkin
2026-04-23,GPI/RSG-MH/2627/0014,BL-CAB024FQ2MBK,OPP_RSG_MH,ISK3,To Amazon FBA,-156,157.0,1.0,Belkin
2026-04-29,GPI/RSG-MH/2627/0015,BL-CAB004BT2MBL,OPP_RSG_MH,ISK3,To Amazon FBA,-78,79.0,1.0,Belkin
2026-05-06,GPI/RSG-MH/2627/0017,GT829-BLACK,OPP_RSG_MH,OPP_WIQ_MH_1,WareIQ,-15,11.0,4.0,GTPlayer
2026-04-09,GPIODRSGMH/2627/0006,BL-CAB024FQ1MBL,OPP_RSG_MH,DED3,To Amazon FBA,-144,3.0,141.0,Belkin
2026-04-09,GPIODRSGMH/2627/0006,BL-CAB024FQ1MSD,OPP_RSG_MH,DED3,To Amazon FBA,-12,4.0,8.0,Belkin
2026-04-09,GPIODRSGMH/2627/0006,BL-CAB024FQ2MBK,OPP_RSG_MH,DED3,To Amazon FBA,-600,393.0,207.0,Belkin
2026-04-09,GPIODRSGMH/2627/0006,BL-CAB025FQ1MSD,OPP_RSG_MH,DED3,To Amazon FBA,-12,1.0,11.0,Belkin
2026-05-28,OGRMH2627/0020,BL-MSA035QCBK,OPP_RSG_MH,OPP_WIQ_MH_1,WareIQ,-30,12.0,18.0,Belkin
2026-05-28,OGRMH2627/0020,BL-MSA038QCBK,OPP_RSG_MH,OPP_WIQ_MH_1,WareIQ,-12,0.0,12.0,Belkin
2026-06-25,OGRMH2627/0036,BL-CAB023FQ1MBL,OPP_RSG_MH,ISK3,To Amazon FBA,-30,12.0,18.0,Belkin
2026-06-25,OGRMH2627/0036,BL-CAB024FQ2MBK,OPP_RSG_MH,ISK3,To Amazon FBA,-168,186.0,18.0,Belkin
2026-06-25,OGRMH2627/0037,COR-B07TKCLYN7,OPP_RSG_MH,ISK3,To Amazon FBA,-70,69.0,1.0,Cortina
2026-07-03,OGRMH2627/0042,COR-B07TJ8Z2VZ,OPP_RSG_MH,ISK3,To Amazon FBA,-28,24.0,4.0,Cortina
2026-07-03,OGRMH2627/0042,COR-B07TMDYSN2,OPP_RSG_MH,ISK3,To Amazon FBA,-28,24.0,4.0,Cortina
2026-07-03,OGRMH2627/0042,COR-B07TPM5NYB,OPP_RSG_MH,ISK3,To Amazon FBA,-20,28.0,8.0,Cortina
2026-07-03,OGRMH2627/0042,COR-B0BPCT43M1,OPP_RSG_MH,ISK3,To Amazon FBA,-36,37.0,1.0,Cortina
2026-07-03,OGRMH2627/0042,COR-B0BPDGT1Q6,OPP_RSG_MH,ISK3,To Amazon FBA,-30,29.0,1.0,Cortina
2026-07-03,OGRMH2627/0042,COR-B0DP2Y6LNK,OPP_RSG_MH,ISK3,To Amazon FBA,-40,39.0,1.0,Cortina
2026-07-03,OGRMH2627/0042,COR-B0DP2YB25L,OPP_RSG_MH,ISK3,To Amazon FBA,-32,0.0,32.0,Cortina
2026-07-03,OGRMH2627/0042,COR-B0DP2Z66HP,OPP_RSG_MH,ISK3,To Amazon FBA,-32,33.0,1.0,Cortina
2026-07-03,OGRMH2627/0042,COR-B0G2GJ53X3,OPP_RSG_MH,ISK3,To Amazon FBA,-30,26.0,4.0,Cortina
2026-07-03,OGRMH2627/0043,BL-CAB027QC1MWH,OPP_RSG_MH,OPP_WIQ_MH_1,WareIQ,-18,12.0,6.0,Belkin
2026-07-04,OGRMH2627/0045,BL-CAB005BT1MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-18,0.0,18.0,Belkin
2026-07-04,OGRMH2627/0045,BL-CAB014BT3MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-24,0.0,24.0,Belkin
2026-07-04,OGRMH2627/0045,BL-CCB001BTBK,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Belkin
2026-07-04,OGRMH2627/0045,BL-F8W973BTPNK,OPP_RSG_MH,ISK3,To Amazon FBA,-18,0.0,18.0,Belkin
2026-07-04,OGRMH2627/0045,BL-F8W974BTBLU,OPP_RSG_MH,ISK3,To Amazon FBA,-30,0.0,30.0,Belkin
2026-07-04,OGRMH2627/0045,BL-MSB003FQCL,OPP_RSG_MH,ISK3,To Amazon FBA,-24,16.0,8.0,Belkin
2026-07-04,OGRMH2627/0046,BL-AUC013BTBK,OPP_RSG_MH,ISK3,To Amazon FBA,-18,8.0,10.0,Belkin
2026-07-04,OGRMH2627/0047,BL-BPB012BTBL,OPP_RSG_MH,ISK3,To Amazon FBA,-30,16.0,14.0,Belkin
2026-07-04,OGRMH2627/0047,BL-BPB014BTBK,OPP_RSG_MH,ISK3,To Amazon FBA,-30,24.0,6.0,Belkin
2026-07-04,OGRMH2627/0047,BL-BPB020BTBK,OPP_RSG_MH,ISK3,To Amazon FBA,-36,16.0,20.0,Belkin
2026-07-08,OGRMH2627/0050,BL-MSA047QCOG-DY,OPP_RSG_MH,OPP_WIQ_MH_1,WareIQ,-12,0.0,12.0,Belkin
2026-07-21,OGRMH2627/0051,BL-AVC022FQBK,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-07-21,OGRMH2627/0051,BL-AVC023FQBK,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-07-21,OGRMH2627/0051,BL-CAB014BT3MBK,OPP_RSG_MH,ISK3,To Amazon FBA,-18,0.0,18.0,Belkin
2026-07-21,OGRMH2627/0051,BL-CAB023FQ1MBL,OPP_RSG_MH,ISK3,To Amazon FBA,-24,0.0,24.0,Belkin
2026-07-21,OGRMH2627/0051,BL-CAB024FQ1MSD,OPP_RSG_MH,ISK3,To Amazon FBA,-36,30.0,6.0,Belkin
2026-07-21,OGRMH2627/0051,BL-CAB024FQ2MBK,OPP_RSG_MH,ISK3,To Amazon FBA,-180,186.0,6.0,Belkin
2026-07-21,OGRMH2627/0051,BL-F2CU036BTBLK,OPP_RSG_MH,ISK3,To Amazon FBA,-18,0.0,18.0,Belkin
2026-07-21,OGRMH2627/0051,BL-MSA030QCCL,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-07-21,OGRMH2627/0051,BL-MSA031QCCL,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-07-21,OGRMH2627/0051,BL-MSA034QCNY,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-07-21,OGRMH2627/0051,BL-MSA035QCNY,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-07-21,OGRMH2627/0051,BL-OVA261QC,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-07-21,OGRMH2627/0051,BL-OVA265QC,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-07-21,OGRMH2627/0051,BL-OVA278QC,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-07-21,OGRMH2627/0051,BL-WCB006ZBWH,OPP_RSG_MH,ISK3,To Amazon FBA,-24,0.0,24.0,Belkin
2026-07-21,OGRMH2627/0051,BL-WIA011FQWH,OPP_RSG_MH,ISK3,To Amazon FBA,-18,0.0,18.0,Belkin
2026-07-21,OGRMH2627/0052,COR-B07TJ91L17,OPP_RSG_MH,ISK3,To Amazon FBA,-36,0.0,36.0,Cortina
2026-07-21,OGRMH2627/0052,COR-B07TKCD5YC,OPP_RSG_MH,ISK3,To Amazon FBA,-28,0.0,28.0,Cortina
